feature_set_name,hidden_sizes,dropout,lr,weight_decay,optimizer,scheduler,batch_size,activation,loss_name,use_batchnorm,seed,block,run_id
no_crime_no_safety_geo_macro_density,"(256, 256)",0.25,0.0007,0.002,adamw,cosine,128,relu,smooth_l1,False,42,block1_no_crime_no_safety,15
no_crime_no_safety_all_remaining,"(128, 128, 64)",0.3,0.0007,0.001,adam,cosine,256,relu,mse,True,42,block1_no_crime_no_safety,16
no_crime_no_safety_geo_macro_only,"(256, 256)",0.25,0.0007,0.001,adam,plateau,256,gelu,mse,False,52,block1_no_crime_no_safety,17
no_crime_no_safety_geo_density_only,"(256, 256)",0.2,0.0003,0.002,adamw,plateau,128,relu,mse,True,52,block1_no_crime_no_safety,18
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.2,0.0005,0.002,adam,cosine,64,relu,mse,True,42,block1_no_crime_no_safety,19
no_crime_no_safety_geo_macro_density,"(512, 256)",0.1,0.0005,0.001,adam,plateau,64,relu,smooth_l1,False,52,block1_no_crime_no_safety,20
no_crime_no_safety_geo_macro_only,"(512, 256)",0.25,0.0007,0.0005,adamw,cosine,128,relu,mse,True,42,block1_no_crime_no_safety,21
no_crime_no_safety_all_remaining,"(256, 256)",0.35,0.0005,0.0005,adam,cosine,64,gelu,smooth_l1,True,42,block1_no_crime_no_safety,22
no_crime_no_safety_geo_density_only,"(512, 256)",0.1,0.0003,0.0005,adamw,plateau,128,gelu,smooth_l1,False,52,block1_no_crime_no_safety,23
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.3,0.0003,0.0001,adam,plateau,128,gelu,mse,True,42,block1_no_crime_no_safety,24
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.25,0.0007,0.0005,adam,plateau,256,relu,mse,False,52,block1_no_crime_no_safety,25
no_crime_no_safety_all_remaining,"(128, 128)",0.1,0.001,0.0005,adamw,plateau,64,gelu,mse,True,42,block1_no_crime_no_safety,26
no_crime_no_safety_geo_macro_only,"(512, 256)",0.3,0.0005,0.001,adamw,cosine,64,gelu,smooth_l1,False,52,block1_no_crime_no_safety,27
no_crime_no_safety_geo_macro_only,"(256, 256)",0.35,0.0003,0.001,adam,cosine,256,gelu,smooth_l1,False,42,block1_no_crime_no_safety,28
no_crime_no_safety_geo_density_only,"(512, 256)",0.25,0.001,0.001,adamw,cosine,128,relu,mse,True,52,block1_no_crime_no_safety,29
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.25,0.0007,0.0005,adamw,plateau,128,relu,smooth_l1,True,52,block1_no_crime_no_safety,30
no_crime_no_safety_geo_macro_density,"(256, 256)",0.2,0.0007,0.002,adam,plateau,128,gelu,mse,True,52,block1_no_crime_no_safety,31
no_crime_no_safety_geo_macro_density,"(256, 256)",0.3,0.001,0.001,adamw,cosine,128,relu,mse,True,42,block1_no_crime_no_safety,32
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.2,0.001,0.001,adam,cosine,64,gelu,smooth_l1,True,52,block1_no_crime_no_safety,33
no_crime_no_safety_geo_macro_density,"(512, 256)",0.1,0.0007,0.002,adam,plateau,64,relu,mse,False,42,block1_no_crime_no_safety,34
no_crime_no_safety_geo_macro_only,"(512, 256)",0.2,0.0005,0.0005,adamw,cosine,256,gelu,mse,False,52,block1_no_crime_no_safety,35
no_crime_no_safety_all_remaining,"(128, 128)",0.35,0.0005,0.0001,adam,cosine,128,gelu,smooth_l1,True,52,block1_no_crime_no_safety,36
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.3,0.001,0.0001,adam,plateau,128,gelu,smooth_l1,True,52,block1_no_crime_no_safety,37
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.25,0.001,0.002,adamw,plateau,64,relu,mse,True,42,block1_no_crime_no_safety,38
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.3,0.0007,0.001,adam,cosine,128,relu,smooth_l1,False,42,block1_no_crime_no_safety,39
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.2,0.001,0.0005,adam,cosine,256,gelu,smooth_l1,False,42,block1_no_crime_no_safety,40
no_crime_no_safety_geo_macro_density,"(256, 256)",0.25,0.001,0.002,adam,cosine,256,gelu,smooth_l1,False,42,block1_no_crime_no_safety,41
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.25,0.001,0.0001,adamw,plateau,128,gelu,mse,False,42,block1_no_crime_no_safety,42
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.25,0.0005,0.001,adam,plateau,256,relu,mse,False,42,block1_no_crime_no_safety,43
no_crime_no_safety_geo_macro_density,"(128, 128)",0.2,0.0005,0.0001,adam,plateau,64,relu,mse,True,42,block1_no_crime_no_safety,44
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.2,0.0003,0.0001,adamw,plateau,128,gelu,smooth_l1,True,42,block1_no_crime_no_safety,45
no_crime_no_safety_geo_macro_density,"(256, 128, 64)",0.35,0.0003,0.0005,adam,cosine,128,relu,mse,False,42,block1_no_crime_no_safety,46
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.25,0.0005,0.0001,adam,plateau,128,relu,smooth_l1,False,42,block1_no_crime_no_safety,47
no_crime_no_safety_geo_macro_only,"(512, 256)",0.35,0.0003,0.0001,adamw,plateau,128,relu,mse,True,42,block1_no_crime_no_safety,48
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.35,0.0003,0.0005,adamw,plateau,64,gelu,smooth_l1,True,52,block1_no_crime_no_safety,49
no_crime_no_safety_geo_density_only,"(512, 256)",0.35,0.0003,0.0001,adamw,cosine,64,relu,mse,False,52,block1_no_crime_no_safety,50
no_crime_no_safety_all_remaining,"(256, 256)",0.1,0.0003,0.0005,adam,plateau,64,relu,mse,False,52,block1_no_crime_no_safety,51
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.25,0.0003,0.001,adam,plateau,64,relu,smooth_l1,False,52,block1_no_crime_no_safety,52
no_crime_no_safety_geo_macro_only,"(256, 256)",0.25,0.0007,0.0001,adamw,plateau,128,relu,mse,True,52,block1_no_crime_no_safety,53
no_crime_no_safety_geo_macro_density,"(512, 256)",0.1,0.0007,0.0001,adam,cosine,64,relu,smooth_l1,True,42,block1_no_crime_no_safety,54
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.35,0.0005,0.001,adamw,cosine,128,relu,smooth_l1,False,42,block1_no_crime_no_safety,55
no_crime_no_safety_geo_density_only,"(256, 256)",0.2,0.001,0.0005,adamw,plateau,64,relu,mse,True,52,block1_no_crime_no_safety,56
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.3,0.0007,0.0005,adam,plateau,256,gelu,smooth_l1,False,52,block1_no_crime_no_safety,57
no_crime_no_safety_geo_macro_density,"(256, 128, 64)",0.2,0.001,0.0001,adamw,cosine,128,relu,smooth_l1,False,52,block1_no_crime_no_safety,58
no_crime_no_safety_geo_macro_only,"(128, 128)",0.1,0.0007,0.0005,adam,cosine,64,relu,smooth_l1,False,42,block1_no_crime_no_safety,59
no_crime_no_safety_geo_density_only,"(512, 256)",0.2,0.0007,0.0001,adam,cosine,256,relu,mse,False,42,block1_no_crime_no_safety,60
no_crime_no_safety_geo_macro_density,"(256, 256)",0.3,0.001,0.0001,adam,cosine,64,relu,mse,True,52,block1_no_crime_no_safety,61
no_crime_no_safety_all_remaining,"(256, 256)",0.25,0.0003,0.0005,adamw,cosine,128,relu,mse,False,52,block1_no_crime_no_safety,62
no_crime_no_safety_all_remaining,"(512, 256)",0.35,0.0007,0.001,adam,plateau,64,relu,smooth_l1,False,42,block1_no_crime_no_safety,63
no_crime_no_safety_geo_macro_density,"(256, 256)",0.3,0.0007,0.001,adam,cosine,64,gelu,mse,False,52,block1_no_crime_no_safety,64
no_crime_no_safety_all_remaining,"(256, 256)",0.3,0.0005,0.0005,adamw,cosine,128,relu,mse,True,52,block1_no_crime_no_safety,65
no_crime_no_safety_geo_macro_only,"(128, 128)",0.3,0.001,0.001,adamw,plateau,64,relu,smooth_l1,True,52,block1_no_crime_no_safety,66
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.2,0.001,0.002,adamw,plateau,64,gelu,smooth_l1,True,52,block1_no_crime_no_safety,67
no_crime_no_safety_all_remaining,"(256, 256)",0.25,0.001,0.002,adam,cosine,128,relu,smooth_l1,False,42,block1_no_crime_no_safety,68
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.25,0.0007,0.0001,adamw,cosine,256,gelu,mse,False,42,block1_no_crime_no_safety,69
no_crime_no_safety_geo_density_only,"(128, 128)",0.25,0.0005,0.002,adam,plateau,128,relu,mse,True,52,block1_no_crime_no_safety,70
no_crime_no_safety_geo_macro_density,"(512, 256)",0.35,0.0003,0.0001,adam,plateau,64,relu,smooth_l1,False,42,block1_no_crime_no_safety,71
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.35,0.0003,0.0005,adam,plateau,64,gelu,mse,True,42,block1_no_crime_no_safety,72
no_crime_no_safety_all_remaining,"(128, 128, 64)",0.25,0.0003,0.002,adamw,plateau,256,relu,mse,True,52,block1_no_crime_no_safety,73
no_crime_no_safety_geo_macro_only,"(256, 256)",0.2,0.0003,0.001,adamw,plateau,64,gelu,mse,False,42,block1_no_crime_no_safety,74
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.25,0.001,0.002,adamw,cosine,64,relu,mse,True,42,block1_no_crime_no_safety,75
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.25,0.0003,0.001,adamw,cosine,128,relu,smooth_l1,True,52,block1_no_crime_no_safety,76
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.2,0.0005,0.001,adam,cosine,128,gelu,mse,False,42,block1_no_crime_no_safety,77
no_crime_no_safety_all_remaining,"(256, 256)",0.2,0.0003,0.0005,adamw,cosine,256,gelu,smooth_l1,False,52,block1_no_crime_no_safety,78
no_crime_no_safety_geo_macro_only,"(128, 128)",0.25,0.0007,0.002,adamw,plateau,128,gelu,mse,False,52,block1_no_crime_no_safety,79
no_crime_no_safety_geo_density_only,"(128, 128)",0.25,0.001,0.001,adamw,plateau,128,relu,mse,False,52,block1_no_crime_no_safety,80
no_crime_no_safety_all_remaining,"(128, 128)",0.25,0.001,0.0001,adamw,plateau,256,gelu,smooth_l1,False,42,block1_no_crime_no_safety,81
no_crime_no_safety_geo_density_only,"(128, 128)",0.2,0.0005,0.002,adam,plateau,128,relu,mse,True,42,block1_no_crime_no_safety,82
no_crime_no_safety_geo_macro_only,"(512, 256)",0.3,0.0003,0.001,adam,plateau,256,gelu,mse,False,42,block1_no_crime_no_safety,83
no_crime_no_safety_geo_macro_density,"(128, 128)",0.1,0.0005,0.0005,adam,plateau,64,relu,mse,True,52,block1_no_crime_no_safety,84
no_crime_no_safety_all_remaining,"(512, 256)",0.35,0.0005,0.001,adam,plateau,256,gelu,smooth_l1,False,52,block1_no_crime_no_safety,85
no_crime_no_safety_all_remaining,"(128, 128)",0.25,0.0005,0.002,adamw,cosine,256,gelu,mse,False,42,block1_no_crime_no_safety,86
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.2,0.0003,0.0001,adam,cosine,128,gelu,smooth_l1,False,42,block1_no_crime_no_safety,87
no_crime_no_safety_all_remaining,"(128, 128)",0.35,0.001,0.001,adamw,plateau,128,gelu,mse,True,42,block1_no_crime_no_safety,88
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.2,0.0007,0.001,adamw,cosine,256,relu,smooth_l1,True,52,block1_no_crime_no_safety,89
no_crime_no_safety_all_remaining,"(128, 128, 64)",0.2,0.0005,0.001,adam,plateau,64,relu,mse,True,52,block1_no_crime_no_safety,90
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.2,0.0003,0.0005,adam,cosine,128,relu,mse,True,42,block1_no_crime_no_safety,91
no_crime_no_safety_all_remaining,"(128, 128)",0.25,0.0003,0.002,adamw,plateau,64,gelu,mse,False,52,block1_no_crime_no_safety,92
no_crime_no_safety_geo_density_only,"(128, 128)",0.1,0.0005,0.002,adamw,cosine,64,gelu,mse,True,52,block1_no_crime_no_safety,93
no_crime_no_safety_geo_macro_density,"(128, 128)",0.1,0.0003,0.001,adam,cosine,64,relu,mse,True,42,block1_no_crime_no_safety,94
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.3,0.001,0.0001,adamw,cosine,256,relu,mse,True,52,block1_no_crime_no_safety,95
no_crime_no_safety_geo_macro_density,"(128, 128)",0.3,0.0003,0.0001,adam,plateau,128,relu,mse,True,42,block1_no_crime_no_safety,96
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.25,0.0003,0.002,adamw,plateau,128,gelu,smooth_l1,True,52,block1_no_crime_no_safety,97
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.3,0.0003,0.0005,adamw,cosine,128,relu,smooth_l1,True,52,block1_no_crime_no_safety,98
no_crime_no_safety_geo_macro_only,"(256, 256)",0.1,0.001,0.0005,adam,plateau,64,gelu,mse,False,52,block1_no_crime_no_safety,99
no_crime_no_safety_all_remaining,"(128, 128)",0.35,0.0007,0.0001,adam,plateau,64,relu,mse,True,42,block1_no_crime_no_safety,100
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.3,0.001,0.0005,adam,plateau,256,relu,smooth_l1,False,52,block1_no_crime_no_safety,101
no_crime_no_safety_geo_macro_only,"(256, 256)",0.3,0.0003,0.001,adamw,cosine,128,gelu,smooth_l1,True,52,block1_no_crime_no_safety,102
no_crime_no_safety_geo_macro_only,"(256, 256)",0.35,0.0003,0.001,adam,plateau,256,relu,smooth_l1,False,42,block1_no_crime_no_safety,103
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.3,0.0007,0.0001,adamw,plateau,128,relu,mse,False,42,block1_no_crime_no_safety,104
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.3,0.0003,0.001,adamw,plateau,64,relu,mse,False,42,block1_no_crime_no_safety,105
no_crime_no_safety_all_remaining,"(512, 256)",0.35,0.0003,0.001,adam,plateau,128,relu,smooth_l1,True,42,block1_no_crime_no_safety,106
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.35,0.0005,0.001,adam,plateau,256,relu,smooth_l1,True,42,block1_no_crime_no_safety,107
no_crime_no_safety_geo_macro_density,"(256, 256)",0.1,0.0007,0.0005,adam,cosine,64,gelu,smooth_l1,False,52,block1_no_crime_no_safety,108
no_crime_no_safety_geo_macro_only,"(256, 256)",0.35,0.001,0.0005,adamw,plateau,64,relu,mse,True,52,block1_no_crime_no_safety,109
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.3,0.0007,0.0001,adam,cosine,64,gelu,smooth_l1,False,42,block1_no_crime_no_safety,110
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.3,0.0007,0.0001,adam,cosine,128,gelu,mse,False,42,block1_no_crime_no_safety,111
no_crime_no_safety_geo_macro_only,"(128, 128)",0.1,0.001,0.0005,adamw,cosine,128,relu,mse,False,42,block1_no_crime_no_safety,112
no_crime_no_safety_geo_macro_density,"(512, 256)",0.2,0.0003,0.001,adamw,cosine,128,relu,mse,False,52,block1_no_crime_no_safety,113
no_crime_no_safety_all_remaining,"(512, 256)",0.25,0.0005,0.0001,adam,cosine,64,gelu,smooth_l1,False,42,block1_no_crime_no_safety,114
no_crime_no_safety_geo_macro_density,"(128, 128)",0.25,0.0003,0.002,adamw,plateau,256,relu,smooth_l1,False,52,block1_no_crime_no_safety,115
no_crime_no_safety_geo_macro_only,"(256, 256)",0.1,0.0007,0.0005,adamw,plateau,128,gelu,smooth_l1,False,52,block1_no_crime_no_safety,116
no_crime_no_safety_all_remaining,"(256, 256)",0.1,0.0003,0.002,adam,cosine,256,gelu,smooth_l1,False,52,block1_no_crime_no_safety,117
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.35,0.001,0.0005,adam,cosine,128,relu,smooth_l1,True,42,block1_no_crime_no_safety,118
no_crime_no_safety_geo_macro_only,"(512, 256)",0.1,0.0003,0.002,adam,cosine,256,gelu,mse,False,42,block1_no_crime_no_safety,119
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.25,0.0007,0.0005,adamw,plateau,64,gelu,smooth_l1,False,42,block1_no_crime_no_safety,120
no_crime_no_safety_geo_macro_only,"(128, 128)",0.25,0.0003,0.0005,adamw,plateau,64,gelu,smooth_l1,False,42,block1_no_crime_no_safety,121
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.35,0.0003,0.0001,adam,cosine,128,relu,mse,False,42,block1_no_crime_no_safety,122
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.3,0.0003,0.0001,adam,plateau,64,relu,mse,False,52,block1_no_crime_no_safety,123
no_crime_no_safety_all_remaining,"(512, 256)",0.3,0.0005,0.0001,adamw,cosine,64,gelu,smooth_l1,True,42,block1_no_crime_no_safety,124
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.35,0.001,0.0005,adam,cosine,256,gelu,mse,False,52,block1_no_crime_no_safety,125
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.2,0.0003,0.002,adam,cosine,128,relu,smooth_l1,False,42,block1_no_crime_no_safety,126
no_crime_no_safety_geo_density_only,"(512, 256)",0.25,0.001,0.0005,adamw,plateau,128,gelu,mse,False,42,block1_no_crime_no_safety,127
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.3,0.0005,0.0005,adam,cosine,128,relu,smooth_l1,False,42,block1_no_crime_no_safety,128
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.2,0.0007,0.002,adamw,cosine,256,relu,smooth_l1,False,42,block1_no_crime_no_safety,129
no_crime_no_safety_geo_macro_only,"(512, 256)",0.1,0.0003,0.0001,adam,cosine,128,gelu,smooth_l1,False,52,block1_no_crime_no_safety,130
no_crime_no_safety_geo_macro_density,"(512, 256)",0.2,0.0003,0.002,adamw,cosine,128,relu,smooth_l1,False,52,block1_no_crime_no_safety,131
no_crime_no_safety_geo_macro_density,"(128, 128)",0.25,0.0007,0.002,adamw,cosine,128,relu,mse,False,42,block1_no_crime_no_safety,132
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.2,0.0003,0.0001,adamw,plateau,128,gelu,smooth_l1,True,42,block1_no_crime_no_safety,133
no_crime_no_safety_all_remaining,"(512, 256)",0.35,0.0007,0.001,adam,plateau,64,relu,smooth_l1,True,52,block1_no_crime_no_safety,134
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.2,0.0007,0.002,adamw,plateau,64,gelu,smooth_l1,True,42,block1_no_crime_no_safety,135
no_crime_no_safety_geo_macro_density,"(128, 128)",0.35,0.0005,0.0005,adamw,plateau,128,relu,mse,True,52,block1_no_crime_no_safety,136
no_crime_no_safety_geo_macro_density,"(256, 256)",0.1,0.001,0.001,adam,cosine,256,gelu,smooth_l1,False,42,block1_no_crime_no_safety,137
no_crime_no_safety_geo_macro_only,"(256, 256)",0.25,0.001,0.0001,adam,cosine,128,relu,mse,True,42,block1_no_crime_no_safety,138
no_crime_no_safety_geo_density_only,"(128, 128)",0.2,0.0005,0.001,adam,cosine,256,gelu,mse,False,52,block1_no_crime_no_safety,139
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.35,0.0005,0.0005,adam,cosine,128,relu,smooth_l1,False,52,block1_no_crime_no_safety,140
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.2,0.0003,0.0001,adam,cosine,256,relu,smooth_l1,True,52,block1_no_crime_no_safety,141
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.2,0.001,0.0001,adam,plateau,128,gelu,smooth_l1,False,42,block1_no_crime_no_safety,142
no_crime_no_safety_all_remaining,"(512, 256)",0.1,0.0003,0.002,adamw,cosine,64,relu,smooth_l1,False,42,block1_no_crime_no_safety,143
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.25,0.0007,0.0001,adamw,plateau,64,relu,mse,False,52,block1_no_crime_no_safety,144
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.25,0.0005,0.0001,adam,plateau,64,gelu,smooth_l1,False,52,block1_no_crime_no_safety,145
no_crime_no_safety_geo_macro_density,"(128, 128)",0.1,0.0005,0.0001,adam,plateau,128,gelu,mse,False,42,block1_no_crime_no_safety,146
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.3,0.0003,0.001,adamw,cosine,64,gelu,smooth_l1,True,42,block1_no_crime_no_safety,147
no_crime_no_safety_geo_macro_density,"(512, 256)",0.2,0.0007,0.001,adam,plateau,64,gelu,mse,False,52,block1_no_crime_no_safety,148
no_crime_no_safety_all_remaining,"(512, 256)",0.2,0.0005,0.002,adamw,cosine,64,gelu,mse,True,52,block1_no_crime_no_safety,149
no_crime_no_safety_geo_macro_only,"(512, 256)",0.25,0.001,0.002,adamw,cosine,64,relu,smooth_l1,False,52,block1_no_crime_no_safety,150
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.3,0.0007,0.0005,adam,plateau,64,relu,mse,False,42,block1_no_crime_no_safety,151
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.2,0.0003,0.002,adamw,plateau,256,relu,smooth_l1,True,52,block1_no_crime_no_safety,152
no_crime_no_safety_all_remaining,"(128, 128)",0.2,0.001,0.002,adamw,plateau,128,relu,mse,False,52,block1_no_crime_no_safety,153
no_crime_no_safety_geo_density_only,"(256, 256)",0.1,0.0003,0.001,adamw,plateau,256,gelu,mse,False,42,block1_no_crime_no_safety,154
no_crime_no_safety_geo_density_only,"(128, 128)",0.2,0.0005,0.001,adam,plateau,64,gelu,mse,True,42,block1_no_crime_no_safety,155
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.35,0.0003,0.0001,adamw,cosine,128,relu,mse,True,42,block1_no_crime_no_safety,156
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.2,0.0003,0.0005,adam,cosine,128,gelu,smooth_l1,False,42,block1_no_crime_no_safety,157
no_crime_no_safety_geo_macro_only,"(256, 256)",0.35,0.0007,0.0001,adamw,plateau,256,relu,smooth_l1,True,42,block1_no_crime_no_safety,158
no_crime_no_safety_all_remaining,"(128, 128, 64)",0.25,0.0005,0.001,adam,cosine,128,gelu,mse,True,42,block1_no_crime_no_safety,159
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.25,0.0003,0.002,adam,plateau,256,relu,mse,True,42,block1_no_crime_no_safety,160
no_crime_no_safety_geo_macro_only,"(128, 128)",0.3,0.0003,0.001,adamw,plateau,128,gelu,smooth_l1,False,52,block1_no_crime_no_safety,161
no_crime_no_safety_geo_macro_density,"(256, 256)",0.25,0.0005,0.002,adamw,cosine,64,gelu,mse,True,52,block1_no_crime_no_safety,162
no_crime_no_safety_geo_density_only,"(256, 128, 64)",0.2,0.0005,0.001,adam,cosine,64,gelu,mse,False,42,block1_no_crime_no_safety,163
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.25,0.0003,0.0005,adamw,cosine,256,relu,mse,True,42,block1_no_crime_no_safety,164
no_crime_no_safety_geo_macro_density,"(512, 256)",0.3,0.0007,0.001,adamw,plateau,64,relu,smooth_l1,True,52,block1_no_crime_no_safety,165
no_crime_no_safety_geo_macro_density,"(256, 256)",0.25,0.0007,0.0005,adam,cosine,64,gelu,smooth_l1,False,52,block1_no_crime_no_safety,166
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.3,0.0005,0.0001,adamw,cosine,256,relu,mse,True,42,block1_no_crime_no_safety,167
no_crime_no_safety_geo_macro_density,"(256, 256)",0.3,0.0003,0.001,adamw,cosine,64,gelu,mse,True,52,block1_no_crime_no_safety,168
no_crime_no_safety_geo_density_only,"(256, 256)",0.2,0.0005,0.0005,adam,plateau,64,gelu,mse,False,52,block1_no_crime_no_safety,169
no_crime_no_safety_all_remaining,"(256, 128, 64)",0.2,0.001,0.001,adam,plateau,64,relu,smooth_l1,False,52,block1_no_crime_no_safety,170
no_crime_no_safety_all_remaining,"(128, 128, 64)",0.2,0.0005,0.0001,adamw,cosine,256,relu,smooth_l1,True,42,block1_no_crime_no_safety,171
no_crime_no_safety_geo_density_only,"(512, 256)",0.35,0.0005,0.001,adamw,plateau,64,relu,smooth_l1,False,52,block1_no_crime_no_safety,172
no_crime_no_safety_geo_macro_only,"(256, 256)",0.3,0.0007,0.0001,adamw,plateau,64,relu,mse,False,52,block1_no_crime_no_safety,173
no_crime_no_safety_all_remaining,"(256, 256)",0.25,0.0005,0.001,adamw,plateau,64,gelu,mse,True,42,block1_no_crime_no_safety,174
no_crime_no_safety_geo_macro_only,"(128, 128)",0.3,0.0005,0.0005,adamw,plateau,64,relu,smooth_l1,True,42,block1_no_crime_no_safety,175
no_crime_no_safety_geo_macro_only,"(256, 128, 64)",0.35,0.001,0.001,adamw,cosine,64,relu,mse,True,52,block1_no_crime_no_safety,176
no_crime_no_safety_geo_macro_only,"(256, 256)",0.25,0.001,0.001,adam,plateau,64,relu,smooth_l1,True,42,block1_no_crime_no_safety,177
no_crime_no_safety_geo_macro_density,"(128, 128)",0.25,0.0003,0.002,adamw,plateau,256,relu,mse,True,52,block1_no_crime_no_safety,178
no_crime_no_safety_geo_macro_only,"(512, 256)",0.35,0.0007,0.0001,adamw,plateau,256,relu,mse,False,52,block1_no_crime_no_safety,179
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.25,0.0007,0.0001,adamw,plateau,64,gelu,smooth_l1,True,42,block1_no_crime_no_safety,180
