city,lat,lon,country,population,country_norm,city_norm
Sing Buri,14.8911,100.4031,Thailand,17843.0,thailand,sing buri
Savignano sul Rubicone,44.0881,12.3933,Italy,17842.0,italy,savignano sul rubicone
Marabut,11.12,125.22,Philippines,17842.0,philippines,marabut
Itapiúna,-4.5639,-38.9219,Brazil,17841.0,brazil,itapiúna
Kristinehamn,59.3333,14.1167,Sweden,17839.0,sweden,kristinehamn
Jiadong,22.4305,120.5471,Taiwan,17838.0,taiwan,jiadong
Harper,4.3667,-7.7167,Liberia,17837.0,liberia,harper
San Bartolo Tutotepec,20.4,-98.2,Mexico,17837.0,mexico,san bartolo tutotepec
Anacortes,48.4878,-122.6292,United States,17837.0,united states,anacortes
Ribera,37.4994,13.265,Italy,17836.0,italy,ribera
Baymak,52.5833,58.3167,Russia,17833.0,russia,baymak
Pelahiivka,48.0989,38.6128,Ukraine,17833.0,ukraine,pelahiivka
Policoro,40.2,16.6667,Italy,17832.0,italy,policoro
Timbedgha,16.2447,-8.1675,Mauritania,17832.0,mauritania,timbedgha
Náousa,40.6333,22.0667,Greece,17830.0,greece,náousa
Goshaingaon,26.4395,89.9631,India,17830.0,india,goshaingaon
Parede,38.6933,-9.3569,Portugal,17830.0,portugal,parede
Bredene,51.2333,2.9667,Belgium,17828.0,belgium,bredene
Weilerswist,50.7667,6.8331,Germany,17826.0,germany,weilerswist
Salaspils,56.8614,24.35,Latvia,17826.0,latvia,salaspils
Łęczna,51.3,22.8833,Poland,17826.0,poland,łęczna
Glossop,53.443,-1.949,United Kingdom,17825.0,united kingdom,glossop
Arcore,45.6333,9.3167,Italy,17825.0,italy,arcore
Yakacık,40.9164,29.2222,Turkey,17825.0,turkey,yakacık
Villa Corona,20.2417,-103.6167,Mexico,17824.0,mexico,villa corona
Blythe,33.6219,-114.6195,United States,17824.0,united states,blythe
Hope Mills,34.971,-78.9597,United States,17823.0,united states,hope mills
Mengjiacun,40.0001,119.8457,China,17822.0,china,mengjiacun
Lumbreras,37.5633,-1.8072,Spain,17822.0,spain,lumbreras
Las Heras,-46.55,-68.95,Argentina,17821.0,argentina,las heras
São Luís Gonzaga do Maranhão,-4.38,-44.67,Brazil,17818.0,brazil,são luís gonzaga do maranhão
Carate Brianza,45.6833,9.2333,Italy,17817.0,italy,carate brianza
Blaj,46.1753,23.9144,Romania,17816.0,romania,blaj
Bay City,28.9838,-95.9601,United States,17816.0,united states,bay city
Guayama,17.9743,-66.1104,Puerto Rico,17815.0,puerto rico,guayama
Tiffin,41.1165,-83.1805,United States,17814.0,united states,tiffin
Itanhém,-17.1658,-40.33,Brazil,17813.0,brazil,itanhém
Mazapil,24.6383,-101.5553,Mexico,17813.0,mexico,mazapil
Pariharpur,26.7114,85.6797,India,17810.0,india,pariharpur
Muttenz,47.5228,7.6452,Switzerland,17809.0,switzerland,muttenz
Oberasbach,49.4219,10.9583,Germany,17807.0,germany,oberasbach
Southbridge,42.0604,-72.0338,United States,17806.0,united states,southbridge
Steinbach,49.5258,-96.6839,Canada,17806.0,canada,steinbach
Salgar,5.9617,-75.9753,Colombia,17804.0,colombia,salgar
Seyah Cheshmeh,39.0619,44.3825,Iran,17804.0,iran,seyah cheshmeh
Santa Fe,12.15,122.0,Philippines,17802.0,philippines,santa fe
Fontaine-l’Évêque,50.4092,4.3242,Belgium,17801.0,belgium,fontaine-l’évêque
Gazantarak,39.9667,69.1333,Tajikistan,17801.0,tajikistan,gazantarak
Dhānsāria,24.7219,87.8572,India,17800.0,india,dhānsāria
Feilding,-40.225,175.565,New Zealand,17800.0,new zealand,feilding
Vobkent Shahri,40.0333,64.5167,Uzbekistan,17800.0,uzbekistan,vobkent shahri
Herenfa,36.2453,1.0458,Algeria,17799.0,algeria,herenfa
Bagahi,26.7632,84.467,India,17798.0,india,bagahi
Villa Rica,33.7294,-84.9177,United States,17798.0,united states,villa rica
Alice,27.7556,-98.0653,United States,17797.0,united states,alice
Vennandūr,11.515,78.0908,India,17796.0,india,vennandūr
San Rafael,11.1728,122.8267,Philippines,17795.0,philippines,san rafael
Jovellar,13.07,123.6,Philippines,17795.0,philippines,jovellar
Ostróda,53.7,19.9667,Poland,17795.0,poland,ostróda
Jucurutu,-6.0339,-37.02,Brazil,17793.0,brazil,jucurutu
Ponmana,8.3552,77.3283,India,17793.0,india,ponmana
Shichigahama,38.3045,141.0591,Japan,17793.0,japan,shichigahama
Amīnpur,17.5241,78.3242,India,17790.0,india,amīnpur
Portchester,50.842,-1.12,United Kingdom,17789.0,united kingdom,portchester
San Rafael del Norte,13.2167,-86.1167,Nicaragua,17789.0,nicaragua,san rafael del norte
Mankara,10.75,76.4333,India,17787.0,india,mankara
Berlín,13.5,-88.5333,El Salvador,17787.0,el salvador,berlín
Arakkapādi,10.0599,76.4592,India,17779.0,india,arakkapādi
Cordenons,45.9833,12.7,Italy,17779.0,italy,cordenons
Mooirivier,-29.2,29.9833,South Africa,17779.0,south africa,mooirivier
Anda,9.744,124.576,Philippines,17778.0,philippines,anda
Monthey,46.25,6.95,Switzerland,17777.0,switzerland,monthey
Khaşab,26.1833,56.25,Oman,17777.0,oman,khaşab
Dhamaun,25.5999,85.5479,India,17775.0,india,dhamaun
Dastgerd,32.8008,51.6647,Iran,17775.0,iran,dastgerd
Willimantic,41.7171,-72.2114,United States,17774.0,united states,willimantic
Varvarin,43.7167,21.3667,Serbia,17772.0,serbia,varvarin
Nidda,50.4128,9.0092,Germany,17768.0,germany,nidda
Łańcut,50.0667,22.2333,Poland,17768.0,poland,łańcut
Visé,50.737,5.6958,Belgium,17767.0,belgium,visé
Somma Lombardo,45.6833,8.7,Italy,17767.0,italy,somma lombardo
Tall ‘Aran,36.1231,37.34,Syria,17767.0,syria,tall ‘aran
Ash Shaykhān,36.6959,43.352,Iraq,17766.0,iraq,ash shaykhān
Logansport,40.7472,-86.352,United States,17766.0,united states,logansport
Agua Blanca,14.4833,-89.6494,Guatemala,17765.0,guatemala,agua blanca
Klaeng,12.7797,101.6483,Thailand,17764.0,thailand,klaeng
Werdohl,51.2667,7.7667,Germany,17762.0,germany,werdohl
Cairu,-13.4869,-39.0439,Brazil,17761.0,brazil,cairu
Or ‘Aqiva,32.5,34.9167,Israel,17759.0,israel,or ‘aqiva
Clemson,34.6837,-82.8124,United States,17759.0,united states,clemson
Penn,39.7994,-76.9642,United States,17758.0,united states,penn
Kreuzau,50.75,6.4831,Germany,17756.0,germany,kreuzau
North Valley Stream,40.684,-73.7077,United States,17756.0,united states,north valley stream
Māḩiş,31.9833,35.7667,Jordan,17754.0,jordan,māḩiş
Ostermundigen,46.9553,7.4833,Switzerland,17751.0,switzerland,ostermundigen
Arco,45.9167,10.8833,Italy,17750.0,italy,arco
Dergaon,26.7,93.9667,India,17748.0,india,dergaon
Eslöv,55.8333,13.3333,Sweden,17748.0,sweden,eslöv
Pokrov,55.9117,39.1847,Russia,17747.0,russia,pokrov
Hlybokaye,55.1333,27.6833,Belarus,17746.0,belarus,hlybokaye
Kuttālam,11.0758,79.5608,India,17746.0,india,kuttālam
Horodok,49.1667,26.5667,Ukraine,17746.0,ukraine,horodok
North Canton,40.8742,-81.3971,United States,17746.0,united states,north canton
Manzanares,38.9964,-3.3731,Spain,17745.0,spain,manzanares
Trossingen,48.0756,8.6361,Germany,17744.0,germany,trossingen
Chitipa,-9.7024,33.2697,Malawi,17743.0,malawi,chitipa
Köping,59.5141,15.9915,Sweden,17743.0,sweden,köping
Godfrey,38.9577,-90.2156,United States,17743.0,united states,godfrey
Toba,34.4813,136.8434,Japan,17741.0,japan,toba
Portsmouth,41.5922,-71.2745,United States,17740.0,united states,portsmouth
Saint-Colomban,45.73,-74.13,Canada,17740.0,canada,saint-colomban
Dianópolis,-11.6258,-46.8203,Brazil,17739.0,brazil,dianópolis
Freudenberg,50.8997,7.8667,Germany,17738.0,germany,freudenberg
Stowbtsy,53.4833,26.7333,Belarus,17737.0,belarus,stowbtsy
Qal’at Mgouna,31.2414,-6.1283,Morocco,17737.0,morocco,qal’at mgouna
Vysokaya Gora,55.9121,49.3128,Russia,17736.0,russia,vysokaya gora
Dniprorudne,47.3863,34.997,Ukraine,17736.0,ukraine,dniprorudne
Reni,45.4575,28.2711,Ukraine,17736.0,ukraine,reni
Troy,31.8021,-85.9664,United States,17733.0,united states,troy
Kodiyēri,11.7067,75.5331,India,17732.0,india,kodiyēri
Nīkshahr,26.2253,60.2167,Iran,17732.0,iran,nīkshahr
Liulin,34.5891,103.5081,China,17731.0,china,liulin
Laukāha,26.55,86.47,India,17730.0,india,laukāha
Sapucaia,-21.995,-42.9139,Brazil,17729.0,brazil,sapucaia
Erjie,24.7285,102.372,China,17728.0,china,erjie
Susner,23.9467,76.0882,India,17727.0,india,susner
Estancia Pozo Colorado,-23.4333,-58.9667,Paraguay,17727.0,paraguay,estancia pozo colorado
Herzele,50.8833,3.8833,Belgium,17723.0,belgium,herzele
West Columbia,33.9932,-81.0936,United States,17723.0,united states,west columbia
Forst (Lausitz),51.7333,14.6333,Germany,17721.0,germany,forst (lausitz)
Calverton,39.0578,-76.9488,United States,17721.0,united states,calverton
Ban Mae Ngon Khilek,19.8021,99.1614,Thailand,17715.0,thailand,ban mae ngon khilek
Pirapemas,-3.7269,-44.2228,Brazil,17714.0,brazil,pirapemas
East Lampeter,40.0375,-76.2162,United States,17712.0,united states,east lampeter
Mannō,34.2,133.8333,Japan,17711.0,japan,mannō
Domodossola,46.1161,8.2911,Italy,17709.0,italy,domodossola
Rockland,42.1295,-70.91,United States,17709.0,united states,rockland
Broken Hill,-31.95,141.4667,Australia,17706.0,australia,broken hill
Balaguer,41.79,0.805,Spain,17705.0,spain,balaguer
Garches,48.8461,2.1889,France,17705.0,france,garches
Dialafara,13.4631,-11.3797,Mali,17705.0,mali,dialafara
Major Isidoro,-9.5319,-36.985,Brazil,17700.0,brazil,major isidoro
Nümbrecht,50.9053,7.5422,Germany,17700.0,germany,nümbrecht
Zalţan,32.95,11.8658,Libya,17700.0,libya,zalţan
Ashton,-44.033,171.772,New Zealand,17700.0,new zealand,ashton
Ngora,1.4575,33.7764,Uganda,17700.0,uganda,ngora
Kharhiāl,20.2885,82.7606,India,17699.0,india,kharhiāl
Digne-les-Bains,44.0933,6.2364,France,17694.0,france,digne-les-bains
Mallapalli,9.4461,76.6567,India,17693.0,india,mallapalli
Holly Springs,34.1681,-84.4847,United States,17693.0,united states,holly springs
Miramichi,47.0196,-65.5072,Canada,17692.0,canada,miramichi
Saint-Maximin-la-Sainte-Baume,43.4532,5.8614,France,17691.0,france,saint-maximin-la-sainte-baume
Kiangan,16.7775,121.0878,Philippines,17691.0,philippines,kiangan
Vettavalam,12.1077,79.2452,India,17690.0,india,vettavalam
Miaojiaping,37.5777,110.0658,China,17689.0,china,miaojiaping
Kalyānpur Bamaiya,25.714,85.9212,India,17689.0,india,kalyānpur bamaiya
Kaspiysk,42.8803,47.6383,Russia,17689.0,russia,kaspiysk
Vrede,-27.43,29.16,South Africa,17689.0,south africa,vrede
Gainesville,33.639,-97.1487,United States,17688.0,united states,gainesville
Ban Houayxay,20.2631,100.4336,Laos,17687.0,laos,ban houayxay
Oulmes,33.445,-6.0011,Morocco,17687.0,morocco,oulmes
Starodub,52.5833,32.7667,Russia,17687.0,russia,starodub
Glassmanor,38.8181,-76.9833,United States,17687.0,united states,glassmanor
Damme,52.5208,8.1986,Germany,17686.0,germany,damme
Flórina,40.7833,21.4,Greece,17686.0,greece,flórina
Maripād,17.372,79.8807,India,17685.0,india,maripād
